"id";"sexo";"escala";"puntuacion_cruda";"puntuacion_t"
1;1;1;0;30
2;1;1;1;34
3;1;1;2;38
4;1;1;3;42
5;1;1;4;45
6;1;1;5;49
7;1;1;6;53
8;1;1;7;57
9;1;1;8;61
10;1;1;9;65
11;1;1;10;68
12;1;1;11;72
13;1;1;12;76
14;1;1;13;80
15;1;1;14;84
16;1;1;15;88
17;1;2;0;33
18;1;2;1;36
19;1;2;2;39
20;1;2;3;42
21;1;2;4;45
22;1;2;5;48
23;1;2;6;51
24;1;2;7;54
25;1;2;8;57
26;1;2;9;60
27;1;2;10;63
28;1;2;11;66
29;1;2;12;69
30;1;2;13;71
31;1;2;14;74
32;1;2;15;77
33;1;2;16;80
34;1;2;17;83
35;1;2;18;86
36;1;2;19;89
37;1;2;20;92
38;1;2;21;95
39;1;2;22;98
40;1;2;23;101
41;1;2;24;104
42;1;2;25;107
43;1;2;26;110
44;1;2;27;113
45;1;2;28;116
46;1;2;29;119
47;1;2;30;121
48;1;2;31;124
49;1;2;32;127
50;1;2;33;130
51;1;2;34;133
52;1;2;35;136
53;1;2;36;139
54;1;2;37;142
55;1;2;38;145
56;1;2;39;148
57;1;2;40;151
58;1;2;41;154
59;1;2;42;157
60;1;2;43;160
61;1;2;44;163
62;1;2;45;166
63;1;2;46;169
64;1;2;47;171
65;1;2;48;174
66;1;2;49;177
67;1;2;50;180
68;1;2;51;183
69;1;2;52;186
70;1;2;53;189
71;1;2;54;192
72;1;2;55;195
73;1;2;56;198
74;1;2;57;201
75;1;2;58;204
76;1;2;59;207
77;1;2;60;210
78;1;3;7;30
79;1;3;8;32
80;1;3;9;34
81;1;3;10;36
82;1;3;11;39
83;1;3;12;41
84;1;3;13;43
85;1;3;14;45
86;1;3;15;48
87;1;3;16;50
88;1;3;17;52
89;1;3;18;55
90;1;3;19;57
91;1;3;20;59
92;1;3;21;61
93;1;3;22;64
94;1;3;23;66
95;1;3;24;68
96;1;3;25;70
97;1;3;26;73
98;1;3;27;75
99;1;3;28;77
100;1;3;29;80
101;1;3;30;82
102;1;4;7;31
103;1;4;8;34
104;1;4;9;37
105;1;4;10;39
106;1;4;11;42
107;1;4;12;44
108;1;4;13;47
109;1;4;14;50
110;1;4;15;52
111;1;4;16;55
112;1;4;17;58
113;1;4;18;60
114;1;4;19;63
115;1;4;20;66
116;1;4;21;68
117;1;4;22;71
118;1;4;23;73
119;1;4;24;76
120;1;4;25;79
121;1;4;26;81
122;1;4;27;84
123;1;4;28;87
124;1;4;29;89
125;1;4;30;92
126;1;4;31;94
127;1;4;32;97
128;1;5;11;31
129;1;5;12;33
130;1;5;13;35
131;1;5;14;37
132;1;5;15;39
133;1;5;16;41
134;1;5;17;43
135;1;5;18;46
136;1;5;19;48
137;1;5;20;50
138;1;5;21;52
139;1;5;22;54
140;1;5;23;56
141;1;5;24;58
142;1;5;25;60
143;1;5;26;63
144;1;5;27;65
145;1;5;28;67
146;1;5;29;69
147;1;5;30;71
148;1;5;31;73
149;1;5;32;75
150;1;5;33;77
151;1;5;34;80
152;1;5;35;82
153;1;5;36;84
154;1;5;37;86
155;1;5;38;88
156;1;5;39;90
157;1;5;40;92
158;1;5;41;94
159;1;5;42;97
160;1;5;43;99
161;1;5;44;101
162;1;5;45;103
163;1;5;46;105
164;1;5;47;107
165;1;5;48;109
166;1;5;49;111
167;1;5;50;114
168;1;5;51;116
169;1;5;52;118
170;1;5;53;120
171;1;5;54;122
172;1;5;55;124
173;1;5;56;126
174;1;5;57;129
175;1;6;12;31
176;1;6;13;33
177;1;6;14;36
178;1;6;15;38
179;1;6;16;40
180;1;6;17;42
181;1;6;18;44
182;1;6;19;46
183;1;6;20;48
184;1;6;21;50
185;1;6;22;52
186;1;6;23;54
187;1;6;24;56
188;1;6;25;58
189;1;6;26;60
190;1;6;27;62
191;1;6;28;64
192;1;6;29;66
193;1;6;30;68
194;1;6;31;70
195;1;6;32;72
196;1;6;33;74
197;1;6;34;76
198;1;6;35;78
199;1;6;36;80
200;1;6;37;82
201;1;6;38;84
202;1;6;39;88
203;1;6;40;89
204;1;6;41;91
205;1;6;42;93
206;1;6;43;95
207;1;6;44;97
208;1;6;45;99
209;1;6;46;101
210;1;6;47;103
211;1;6;48;105
212;1;6;49;107
213;1;6;50;109
214;1;6;51;111
215;1;6;52;113
216;1;6;53;115
217;1;6;54;117
218;1;6;55;119
219;1;6;56;121
220;1;6;57;123
221;1;6;58;125
222;1;6;59;127
223;1;6;60;129
224;1;7;15;30
225;1;7;16;33
226;1;7;17;35
227;1;7;18;37
228;1;7;19;40
229;1;7;20;42
230;1;7;21;44
231;1;7;22;47
232;1;7;23;49
233;1;7;24;51
234;1;7;25;54
235;1;7;26;56
236;1;7;27;58
237;1;7;28;61
238;1;7;29;63
239;1;7;30;65
240;1;7;31;68
241;1;7;32;70
242;1;7;33;72
243;1;7;34;75
244;1;7;35;77
245;1;7;36;79
246;1;7;37;82
247;1;7;38;84
248;1;7;39;86
249;1;7;40;89
250;1;7;41;91
251;1;7;42;93
252;1;7;43;96
253;1;7;44;98
254;1;7;45;100
255;1;7;46;103
256;1;7;47;105
257;1;7;48;107
258;1;7;49;110
259;1;7;50;112
260;1;8;16;30
261;1;8;17;33
262;1;8;18;35
263;1;8;19;38
264;1;8;20;40
265;1;8;21;42
266;1;8;22;45
267;1;8;23;47
268;1;8;24;50
269;1;8;25;52
270;1;8;26;55
271;1;8;27;57
272;1;8;28;60
273;1;8;29;62
274;1;8;30;64
275;1;8;31;67
276;1;8;32;69
277;1;8;33;72
278;1;8;34;74
279;1;8;35;77
280;1;8;36;79
281;1;8;37;81
282;1;8;38;84
283;1;8;39;86
284;1;8;40;89
285;1;8;41;91
286;1;8;42;94
287;1;8;43;96
288;1;8;44;99
289;1;8;45;101
290;1;8;46;103
291;1;8;47;106
292;1;8;48;108
293;1;8;49;111
294;1;8;50;113
295;1;8;51;116
296;1;8;52;118
297;1;8;53;120
298;1;8;54;123
299;1;8;55;125
300;1;8;56;128
301;1;9;4;33
302;1;9;5;36
303;1;9;6;39
304;1;9;7;43
305;1;9;8;46
306;1;9;9;49
307;1;9;10;53
308;1;9;11;56
309;1;9;12;59
310;1;9;13;63
311;1;9;14;66
312;1;9;15;69
313;1;9;16;73
314;1;9;17;76
315;1;9;18;79
316;1;9;19;83
317;1;9;20;86
318;1;9;21;89
319;1;9;22;93
320;1;9;23;96
321;1;9;24;99
322;1;9;25;103
323;1;9;26;106
324;1;9;27;109
325;1;9;28;113
326;1;9;29;116
327;1;9;30;119
328;1;9;31;123
329;1;9;32;126
330;1;9;33;129
331;1;9;34;133
332;1;9;35;136
333;1;9;36;139
334;1;9;37;143
335;1;9;38;146
336;1;9;39;149
337;1;9;40;153
338;1;10;18;30
339;1;10;19;32
340;1;10;20;34
341;1;10;21;36
342;1;10;22;38
343;1;10;23;40
344;1;10;24;42
345;1;10;25;44
346;1;10;26;46
347;1;10;27;48
348;1;10;28;50
349;1;10;29;52
350;1;10;30;54
351;1;10;31;56
352;1;10;32;58
353;1;10;33;60
354;1;10;34;62
355;1;10;35;64
356;1;10;36;66
357;1;10;37;68
358;1;10;38;70
359;1;10;39;72
360;1;10;40;74
361;1;10;41;76
362;1;10;42;78
363;1;10;43;80
364;1;10;44;82
365;1;10;45;84
366;1;10;46;86
367;1;10;47;88
368;1;10;48;90
369;1;11;18;31
370;1;11;19;32
371;1;11;20;34
372;1;11;21;36
373;1;11;22;37
374;1;11;23;39
375;1;11;24;41
376;1;11;25;42
377;1;11;26;44
378;1;11;27;46
379;1;11;28;47
380;1;11;29;49
381;1;11;30;51
382;1;11;31;53
383;1;11;32;54
384;1;11;33;56
385;1;11;34;58
386;1;11;35;59
387;1;11;36;61
388;1;11;37;63
389;1;11;38;64
390;1;11;39;66
391;1;11;40;68
392;1;11;41;69
393;1;11;42;71
394;1;11;43;73
395;1;11;44;75
396;1;11;45;76
397;1;11;46;78
398;1;11;47;80
399;1;11;48;81
400;1;11;49;83
401;1;11;50;85
402;1;11;51;86
403;1;11;52;88
404;1;11;53;90
405;1;11;54;92
406;1;11;55;93
407;1;11;56;95
408;1;11;57;97
409;1;11;58;98
410;1;11;59;100
411;1;11;60;102
412;1;11;61;103
413;1;11;62;105
414;1;11;63;107
415;1;11;64;108
416;1;11;65;110
417;1;11;66;112
418;1;11;67;114
419;1;11;68;115
420;1;11;69;117
421;1;11;70;119
422;1;11;71;120
423;1;12;14;31
424;1;12;15;33
425;1;12;16;36
426;1;12;17;38
427;1;12;18;41
428;1;12;19;43
429;1;12;20;46
430;1;12;21;48
431;1;12;22;51
432;1;12;23;53
433;1;12;24;56
434;1;12;25;58
435;1;12;26;61
436;1;12;27;63
437;1;12;28;66
438;1;12;29;68
439;1;12;30;71
440;1;12;31;73
441;1;12;32;76
442;1;12;33;78
443;1;12;34;81
444;1;12;35;83
445;1;12;36;86
446;1;12;37;88
447;1;12;38;91
448;1;12;39;93
449;1;12;40;96
450;1;12;41;98
451;1;12;42;101
452;1;12;43;103
453;1;12;44;106
454;1;12;45;108
455;1;12;46;111
456;1;13;11;31
457;1;13;12;32
458;1;13;13;33
459;1;13;14;35
460;1;13;15;36
461;1;13;16;37
462;1;13;17;39
463;1;13;18;40
464;1;13;19;41
465;1;13;20;43
466;1;13;21;44
467;1;13;22;45
468;1;13;23;47
469;1;13;24;48
470;1;13;25;49
471;1;13;26;51
472;1;13;27;52
473;1;13;28;53
474;1;13;29;54
475;1;13;30;56
476;1;13;31;57
477;1;13;32;58
478;1;13;33;60
479;1;13;34;61
480;1;13;35;62
481;1;13;36;64
482;1;13;37;65
483;1;13;38;66
484;1;13;39;68
485;1;13;40;69
486;1;13;41;70
487;1;13;42;72
488;1;13;43;73
489;1;13;44;74
490;1;13;45;76
491;1;13;46;77
492;1;13;47;78
493;1;13;48;79
494;1;13;49;81
495;1;13;50;82
496;1;13;51;83
497;1;13;52;85
498;1;13;53;86
499;1;13;54;87
500;1;13;55;89
501;1;13;56;90
502;1;13;57;91
503;1;13;58;93
504;1;13;59;94
505;1;13;60;95
506;1;13;61;97
507;1;13;62;98
508;1;13;63;99
509;1;13;64;101
510;1;13;65;102
511;1;13;66;103
512;1;13;67;104
513;1;13;68;106
514;1;13;69;107
515;2;1;0;30
516;2;1;1;31
517;2;1;2;36
518;2;1;3;40
519;2;1;4;45
520;2;1;5;50
521;2;1;6;54
522;2;1;7;59
523;2;1;8;63
524;2;1;9;68
525;2;1;10;72
526;2;1;11;77
527;2;1;12;81
528;2;1;13;86
529;2;1;14;90
530;2;1;15;95
531;2;2;0;34
532;2;2;1;37
533;2;2;2;41
534;2;2;3;44
535;2;2;4;47
536;2;2;5;50
537;2;2;6;54
538;2;2;7;57
539;2;2;8;60
540;2;2;9;63
541;2;2;10;66
542;2;2;11;70
543;2;2;12;73
544;2;2;13;76
545;2;2;14;79
546;2;2;15;83
547;2;2;16;86
548;2;2;17;89
549;2;2;18;92
550;2;2;19;95
551;2;2;20;99
552;2;2;21;102
553;2;2;22;105
554;2;2;23;108
555;2;2;24;112
556;2;2;25;115
557;2;2;26;118
558;2;2;27;121
559;2;2;28;125
560;2;2;29;128
561;2;2;30;131
562;2;2;31;134
563;2;2;32;137
564;2;2;33;141
565;2;2;34;144
566;2;2;35;147
567;2;2;36;150
568;2;2;37;154
569;2;2;38;157
570;2;2;39;160
571;2;2;40;163
572;2;2;41;166
573;2;2;42;170
574;2;2;43;173
575;2;2;44;176
576;2;2;45;179
577;2;2;46;183
578;2;2;47;186
579;2;2;48;189
580;2;2;49;192
581;2;2;50;195
582;2;2;51;199
583;2;2;52;202
584;2;2;53;205
585;2;2;54;208
586;2;2;55;212
587;2;2;56;215
588;2;2;57;218
589;2;2;58;221
590;2;2;59;225
591;2;2;60;228
592;2;3;7;30
593;2;3;8;33
594;2;3;9;35
595;2;3;10;37
596;2;3;11;40
597;2;3;12;42
598;2;3;13;44
599;2;3;14;47
600;2;3;15;49
601;2;3;16;51
602;2;3;17;53
603;2;3;18;56
604;2;3;19;58
605;2;3;20;60
606;2;3;21;63
607;2;3;22;65
608;2;3;23;67
609;2;3;24;70
610;2;3;25;72
611;2;3;26;74
612;2;3;27;77
613;2;3;28;79
614;2;3;29;81
615;2;3;30;84
616;2;4;7;30
617;2;4;8;32
618;2;4;9;35
619;2;4;10;37
620;2;4;11;40
621;2;4;12;42
622;2;4;13;45
623;2;4;14;47
624;2;4;15;50
625;2;4;16;52
626;2;4;17;54
627;2;4;18;57
628;2;4;19;59
629;2;4;20;62
630;2;4;21;64
631;2;4;22;67
632;2;4;23;69
633;2;4;24;71
634;2;4;25;74
635;2;4;26;76
636;2;4;27;79
637;2;4;28;81
638;2;4;29;84
639;2;4;30;86
640;2;4;31;89
641;2;4;32;91
642;2;5;13;31
643;2;5;14;33
644;2;5;15;35
645;2;5;16;37
646;2;5;17;39
647;2;5;18;41
648;2;5;19;43
649;2;5;20;45
650;2;5;21;47
651;2;5;22;49
652;2;5;23;51
653;2;5;24;53
654;2;5;25;55
655;2;5;26;57
656;2;5;27;59
657;2;5;28;61
658;2;5;29;63
659;2;5;30;66
660;2;5;31;68
661;2;5;32;70
662;2;5;33;72
663;2;5;34;74
664;2;5;35;76
665;2;5;36;78
666;2;5;37;80
667;2;5;38;82
668;2;5;39;84
669;2;5;40;86
670;2;5;41;88
671;2;5;42;90
672;2;5;43;92
673;2;5;44;94
674;2;5;45;96
675;2;5;46;98
676;2;5;47;100
677;2;5;48;102
678;2;5;49;104
679;2;5;50;106
680;2;5;51;108
681;2;5;52;110
682;2;5;53;112
683;2;5;54;114
684;2;5;55;117
685;2;5;56;119
686;2;5;57;121
687;2;6;12;30
688;2;6;13;32
689;2;6;14;34
690;2;6;15;36
691;2;6;16;38
692;2;6;17;40
693;2;6;18;42
694;2;6;19;44
695;2;6;20;46
696;2;6;21;48
697;2;6;22;50
698;2;6;23;52
699;2;6;24;54
700;2;6;25;56
701;2;6;26;58
702;2;6;27;60
703;2;6;28;62
704;2;6;29;64
705;2;6;30;67
706;2;6;31;69
707;2;6;32;71
708;2;6;33;73
709;2;6;34;75
710;2;6;35;77
711;2;6;36;79
712;2;6;37;81
713;2;6;38;83
714;2;6;39;85
715;2;6;40;87
716;2;6;41;89
717;2;6;42;91
718;2;6;43;93
719;2;6;44;95
720;2;6;45;97
721;2;6;46;99
722;2;6;47;101
723;2;6;48;103
724;2;6;49;105
725;2;6;50;107
726;2;6;51;109
727;2;6;52;111
728;2;6;53;113
729;2;6;54;116
730;2;6;55;118
731;2;6;56;120
732;2;6;57;122
733;2;6;58;124
734;2;6;59;126
735;2;6;60;128
736;2;7;14;30
737;2;7;15;32
738;2;7;16;35
739;2;7;17;37
740;2;7;18;39
741;2;7;19;42
742;2;7;20;44
743;2;7;21;46
744;2;7;22;49
745;2;7;23;51
746;2;7;24;54
747;2;7;25;56
748;2;7;26;58
749;2;7;27;61
750;2;7;28;63
751;2;7;29;65
752;2;7;30;68
753;2;7;31;70
754;2;7;32;73
755;2;7;33;75
756;2;7;34;77
757;2;7;35;80
758;2;7;36;82
759;2;7;37;85
760;2;7;38;87
761;2;7;39;89
762;2;7;40;92
763;2;7;41;94
764;2;7;42;96
765;2;7;43;99
766;2;7;44;101
767;2;7;45;104
768;2;7;46;106
769;2;7;47;108
770;2;7;48;111
771;2;7;49;113
772;2;7;50;115
773;2;8;0;132
774;2;8;1;129
775;2;8;2;126
776;2;8;3;124
777;2;8;4;121
778;2;8;5;118
779;2;8;6;116
780;2;8;7;113
781;2;8;8;110
782;2;8;9;108
783;2;8;10;105
784;2;8;11;102
785;2;8;12;99
786;2;8;13;97
787;2;8;14;94
788;2;8;15;91
789;2;8;16;89
790;2;8;17;86
791;2;8;18;83
792;2;8;19;81
793;2;8;20;78
794;2;8;21;75
795;2;8;22;72
796;2;8;23;70
797;2;8;24;67
798;2;8;25;64
799;2;8;26;62
800;2;8;27;59
801;2;8;28;56
802;2;8;29;54
803;2;8;30;51
804;2;8;31;48
805;2;8;32;45
806;2;8;33;43
807;2;8;34;40
808;2;8;35;37
809;2;8;36;35
810;2;8;37;32
811;2;9;4;32
812;2;9;5;35
813;2;9;6;38
814;2;9;7;42
815;2;9;8;45
816;2;9;9;48
817;2;9;10;51
818;2;9;11;55
819;2;9;12;58
820;2;9;13;61
821;2;9;14;64
822;2;9;15;67
823;2;9;16;71
824;2;9;17;74
825;2;9;18;77
826;2;9;19;80
827;2;9;20;84
828;2;9;21;87
829;2;9;22;90
830;2;9;23;93
831;2;9;24;96
832;2;9;25;100
833;2;9;26;103
834;2;9;27;106
835;2;9;28;109
836;2;9;29;113
837;2;9;30;116
838;2;9;31;119
839;2;9;32;122
840;2;9;33;125
841;2;9;34;129
842;2;9;35;132
843;2;9;36;135
844;2;9;37;138
845;2;9;38;142
846;2;9;39;145
847;2;9;40;148
848;2;10;19;31
849;2;10;20;33
850;2;10;21;35
851;2;10;22;37
852;2;10;23;39
853;2;10;24;41
854;2;10;25;43
855;2;10;26;45
856;2;10;27;47
857;2;10;28;49
858;2;10;29;51
859;2;10;30;53
860;2;10;31;55
861;2;10;32;57
862;2;10;33;59
863;2;10;34;61
864;2;10;35;63
865;2;10;36;65
866;2;10;37;67
867;2;10;38;69
868;2;10;39;71
869;2;10;40;73
870;2;10;41;75
871;2;10;42;77
872;2;10;43;79
873;2;10;44;81
874;2;10;45;83
875;2;10;46;85
876;2;10;47;87
877;2;11;17;30
878;2;11;18;32
879;2;11;19;34
880;2;11;20;35
881;2;11;21;37
882;2;11;22;39
883;2;11;23;41
884;2;11;24;42
885;2;11;25;44
886;2;11;26;46
887;2;11;27;47
888;2;11;28;49
889;2;11;29;51
890;2;11;30;52
891;2;11;31;54
892;2;11;32;56
893;2;11;33;57
894;2;11;34;59
895;2;11;35;61
896;2;11;36;63
897;2;11;37;64
898;2;11;38;66
899;2;11;39;68
900;2;11;40;69
901;2;11;41;71
902;2;11;42;73
903;2;11;43;74
904;2;11;44;76
905;2;11;45;78
906;2;11;46;79
907;2;11;47;81
908;2;11;48;83
909;2;11;49;85
910;2;11;50;86
